order,family,species,IUCN_status,origin,latitude,longitude,elevation,acclimated,life_stage_acclimated,acclimation_temp,acclimation_time,life_stage_tested,metric,endpoint,medium_test_temp,start_temp,ramping,photoperiod,mean_UTL,n_UTL
Anura,Hylidae,Dendropsophus minutus,LC,wild,-23.3362,-45.145917,820,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,33.79169081,11
Anura,Hylidae,Dendropsophus minutus,LC,wild,-23.23556,-45.021944,1022,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,34.16458977,11
Anura,Hylidae,Dendropsophus minutus,LC,wild,-22.720017,-44.627133,1500,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,32.89471764,11
Anura,Hylidae,Dendropsophus minutus,LC,wild,-22.508533,-45.149167,1600,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,32.86448259,11
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.364525,-44.826944,35,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,38.51843706,9
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.3362,-45.145917,820,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,39.178569,9
Anura,Hylidae,Hypsiboas faber,LC,wild,-23.23556,-45.021944,1022,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,38.33198758,9
Anura,Hylidae,Hypsiboas faber,LC,wild,-22.947417,-45.74585,550,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,37.64665977,9
Anura,Hylidae,Hypsiboas faber,LC,wild,-22.508533,-45.149167,1600,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,38.34710511,9
Anura,Bufonidae,Rhinella icterica,LC,wild,-23.3362,-45.145917,820,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,39.27431333,10
Anura,Bufonidae,Rhinella icterica,LC,wild,-23.23556,-45.021944,1022,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,38.91149272,10
Anura,Bufonidae,Rhinella icterica,LC,wild,-22.720017,-44.627133,1500,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,38.56882881,10
Anura,Bufonidae,Rhinella icterica,LC,wild,-22.947417,-45.74585,550,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,39.00219787,10
Anura,Bufonidae,Rhinella icterica,LC,wild,-22.508533,-45.149167,1600,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,38.60914221,10
Anura,Leptodactylidae,Leptodactylus latrans,LC,wild,-23.364525,-44.826944,35,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,38.9568453,10
Anura,Leptodactylidae,Leptodactylus latrans,LC,wild,-23.23556,-45.021944,1022,acclimated,adults,24.5,7,adults,CTmax,LRR,body,25,0.1,12,38.72504324,10
